iter	Passed	Remaining
0	0	526
1	0	438
2	1	408
3	1	386
4	1	389
5	2	389
6	2	390
7	3	395
8	3	393
9	3	386
10	4	383
11	4	380
12	4	373
13	5	369
14	5	366
15	5	364
16	6	365
17	6	362
18	6	360
19	7	357
20	7	355
21	7	354
22	8	353
23	8	352
24	8	350
25	9	351
26	9	351
27	10	350
28	10	350
29	10	349
30	11	351
31	11	350
32	11	349
33	12	349
34	12	348
35	12	347
36	13	346
37	13	345
38	13	344
39	14	344
40	14	343
41	15	343
42	15	342
43	15	341
44	16	340
45	16	340
46	16	339
47	17	338
48	17	340
49	17	339
50	18	339
51	18	339
52	18	337
53	19	336
54	19	336
55	19	335
56	20	335
57	20	335
58	21	335
59	21	333
60	21	333
61	21	332
62	22	331
63	22	330
64	22	330
65	23	330
66	23	329
67	24	329
68	24	329
69	24	328
70	25	328
71	25	328
72	25	328
73	26	328
74	26	327
75	26	327
76	27	326
77	27	326
78	27	325
79	28	325
80	28	324
81	28	323
82	29	321
83	29	320
84	29	319
85	30	319
86	30	321
87	31	322
88	31	321
89	31	321
90	32	321
91	32	320
92	32	319
93	33	319
94	33	319
95	33	318
96	34	317
97	34	317
98	34	317
99	35	316
100	35	315
101	35	315
102	36	314
103	36	314
104	36	313
105	37	312
106	37	312
107	37	312
108	38	312
109	38	311
110	38	310
111	39	310
112	39	310
113	39	309
114	40	314
115	41	313
116	41	312
117	41	312
118	42	312
119	42	312
120	42	311
121	43	310
122	43	310
123	43	310
124	44	310
125	44	309
126	44	308
127	45	309
128	45	308
129	46	308
130	46	308
131	46	308
132	47	307
133	47	307
134	48	307
135	48	308
136	48	308
137	49	308
138	49	308
139	50	308
140	50	308
141	50	307
142	51	307
143	51	307
144	52	307
145	52	306
146	52	306
147	53	306
148	53	305
149	53	305
150	54	305
151	54	304
152	54	303
153	55	303
154	55	303
155	56	303
156	56	302
157	56	302
158	57	301
159	57	301
160	57	300
161	57	299
162	58	299
163	58	299
164	59	298
165	59	298
166	59	297
167	60	297
168	60	296
169	60	296
170	61	296
171	61	295
172	61	295
173	62	294
174	62	294
175	62	293
176	63	293
177	63	292
178	63	292
179	64	291
180	64	291
181	64	291
182	65	291
183	65	291
184	65	290
185	66	290
186	66	289
187	67	289
188	67	289
189	67	288
190	68	288
191	68	288
192	68	287
193	69	287
194	69	286
195	69	286
196	70	285
197	70	285
198	70	285
199	71	284
200	71	284
201	71	283
202	72	283
203	72	283
204	72	282
205	73	282
206	73	281
207	73	281
208	74	281
209	74	280
210	74	280
211	75	280
212	75	280
213	76	279
214	76	279
215	76	278
216	77	278
217	77	277
218	77	277
219	78	277
220	78	276
221	78	276
222	79	276
223	79	275
224	79	275
225	80	274
226	80	274
227	81	275
228	81	275
229	82	274
230	82	274
231	82	274
232	83	274
233	83	273
234	83	273
235	84	272
236	84	272
237	84	271
238	85	271
239	85	270
240	85	270
241	86	269
242	86	269
243	86	269
244	87	268
245	87	268
246	88	268
247	88	268
248	88	267
249	89	267
250	89	267
251	89	266
252	90	266
253	90	265
254	90	265
255	91	264
256	91	264
257	91	264
258	92	263
259	92	263
260	92	263
261	93	262
262	93	262
263	93	261
264	94	261
265	94	261
266	94	260
267	95	260
268	95	259
269	96	259
270	96	259
271	96	258
272	97	258
273	97	257
274	97	257
275	97	257
276	98	256
277	98	256
278	99	255
279	99	255
280	99	255
281	100	254
282	100	254
283	100	253
284	101	253
285	101	253
286	101	252
287	102	252
288	102	252
289	102	251
290	103	251
291	103	250
292	103	250
293	104	250
294	104	249
295	104	249
296	105	249
297	105	248
298	105	248
299	106	247
300	106	247
301	106	247
302	107	246
303	107	246
304	108	246
305	108	245
306	108	245
307	109	244
308	109	244
309	109	244
310	110	243
311	110	243
312	110	243
313	111	242
314	111	242
315	111	242
316	112	241
317	112	241
318	113	241
319	113	241
320	114	241
321	114	240
322	114	240
323	115	240
324	115	239
325	115	239
326	116	239
327	116	238
328	116	238
329	117	238
330	117	238
331	118	237
332	118	237
333	118	237
334	119	236
335	119	236
336	119	235
337	120	235
338	120	235
339	120	234
340	121	234
341	121	233
342	121	233
343	122	233
344	122	232
345	123	232
346	123	232
347	123	231
348	124	231
349	124	231
350	124	230
351	125	230
352	125	230
353	126	229
354	126	229
355	126	229
356	127	229
357	127	228
358	127	228
359	128	228
360	128	227
361	128	227
362	129	226
363	129	226
364	129	226
365	130	225
366	130	225
367	130	224
368	131	224
369	131	224
370	131	223
371	132	223
372	132	222
373	133	222
374	133	222
375	133	221
376	134	221
377	134	221
378	134	220
379	135	220
380	135	220
381	135	219
382	136	219
383	136	218
384	136	218
385	137	218
386	137	217
387	137	217
388	138	216
389	138	216
390	138	216
391	139	215
392	139	215
393	139	215
394	140	214
395	140	214
396	140	213
397	141	213
398	141	213
399	141	212
400	142	212
401	142	212
402	142	211
403	143	211
404	143	211
405	143	210
406	144	210
407	144	209
408	144	209
409	145	208
410	145	208
411	145	208
412	146	207
413	146	207
414	146	207
415	147	206
416	147	206
417	147	206
418	148	205
419	148	205
420	148	204
421	149	204
422	149	204
423	150	203
424	150	203
425	150	203
426	151	202
427	151	202
428	151	202
429	152	201
430	152	201
431	152	200
432	153	200
433	153	200
434	153	199
435	154	199
436	154	199
437	154	198
438	155	198
439	155	197
440	155	197
441	156	197
442	156	196
443	157	196
444	157	196
445	158	196
446	158	196
447	158	195
448	159	195
449	159	195
450	160	195
451	160	194
452	161	194
453	161	194
454	161	193
455	162	193
456	162	193
457	163	193
458	163	192
459	164	192
460	164	192
461	164	191
462	165	191
463	165	191
464	165	190
465	166	190
466	166	190
467	167	189
468	167	189
469	167	189
470	168	188
471	168	188
472	168	188
473	169	187
474	169	187
475	169	187
476	170	186
477	170	186
478	170	185
479	171	185
480	171	185
481	172	184
482	172	184
483	172	184
484	173	184
485	173	183
486	174	183
487	174	183
488	174	182
489	175	182
490	175	182
491	176	181
492	176	181
493	177	181
494	177	181
495	177	180
496	178	180
497	178	179
498	178	179
499	179	179
500	179	178
501	179	178
502	180	178
503	180	177
504	181	177
505	181	177
506	181	176
507	182	176
508	182	175
509	182	175
510	183	175
511	183	174
512	183	174
513	184	174
514	184	174
515	185	173
516	185	173
517	185	172
518	186	172
519	186	172
520	186	171
521	187	171
522	187	171
523	188	170
524	188	170
525	188	170
526	189	169
527	189	169
528	189	169
529	190	168
530	190	168
531	191	168
532	191	167
533	191	167
534	192	167
535	192	166
536	193	166
537	193	166
538	193	165
539	194	165
540	194	165
541	194	164
542	195	164
543	195	164
544	196	163
545	196	163
546	196	162
547	197	162
548	197	162
549	197	161
550	198	161
551	198	161
552	198	160
553	199	160
554	199	159
555	199	159
556	200	159
557	200	158
558	200	158
559	201	158
560	201	157
561	201	157
562	202	156
563	202	156
564	203	156
565	203	155
566	203	155
567	204	155
568	204	155
569	205	154
570	205	154
571	205	153
572	206	153
573	206	153
574	206	152
575	207	152
576	207	152
577	208	152
578	208	151
579	209	151
580	209	151
581	209	150
582	210	150
583	210	149
584	210	149
585	211	149
586	211	148
587	211	148
588	212	148
589	212	147
590	212	147
591	213	146
592	213	146
593	213	146
594	214	145
595	214	145
596	214	145
597	215	144
598	215	144
599	215	143
600	216	143
601	216	143
602	217	142
603	217	142
604	217	142
605	218	141
606	218	141
607	219	141
608	219	140
609	219	140
610	220	140
611	220	139
612	220	139
613	221	139
614	221	138
615	222	138
616	222	138
617	223	137
618	223	137
619	223	137
620	224	136
621	224	136
622	224	136
623	225	135
624	225	135
625	226	135
626	226	134
627	226	134
628	227	133
629	227	133
630	227	133
631	228	132
632	228	132
633	229	132
634	229	131
635	229	131
636	230	131
637	230	130
638	230	130
639	231	129
640	231	129
641	231	129
642	232	128
643	232	128
644	232	128
645	233	127
646	233	127
647	234	127
648	234	126
649	234	126
650	235	126
651	235	125
652	236	125
653	236	125
654	236	124
655	237	124
656	237	124
657	238	123
658	238	123
659	239	123
660	239	122
661	239	122
662	240	122
663	240	121
664	240	121
665	241	121
666	241	120
667	242	120
668	242	119
669	242	119
670	243	119
671	243	118
672	243	118
673	244	118
674	244	117
675	245	117
676	245	117
677	245	116
678	246	116
679	246	116
680	246	115
681	247	115
682	247	114
683	247	114
684	248	114
685	248	113
686	249	113
687	249	113
688	249	112
689	250	112
690	250	112
691	251	111
692	251	111
693	251	111
694	252	110
695	252	110
696	252	109
697	253	109
698	253	109
699	254	109
700	254	108
701	255	108
702	255	107
703	255	107
704	256	107
705	256	106
706	257	106
707	257	106
708	257	105
709	258	105
710	258	105
711	258	104
712	259	104
713	259	103
714	259	103
715	260	103
716	260	102
717	261	102
718	261	102
719	261	101
720	262	101
721	262	101
722	262	100
723	263	100
724	263	99
725	263	99
726	264	99
727	264	98
728	265	98
729	265	98
730	265	97
731	266	97
732	266	97
733	267	96
734	268	96
735	268	96
736	268	95
737	269	95
738	269	95
739	269	94
740	270	94
741	270	94
742	270	93
743	271	93
744	271	92
745	272	92
746	272	92
747	272	91
748	273	91
749	273	91
750	273	90
751	274	90
752	274	90
753	274	89
754	275	89
755	275	88
756	275	88
757	276	88
758	276	87
759	276	87
760	277	87
761	277	86
762	277	86
763	278	85
764	278	85
765	278	85
766	279	84
767	279	84
768	279	84
769	280	83
770	280	83
771	280	82
772	281	82
773	281	82
774	282	81
775	282	81
776	283	81
777	283	80
778	283	80
779	284	80
780	284	79
781	285	79
782	285	79
783	285	78
784	286	78
785	286	78
786	287	77
787	287	77
788	287	76
789	288	76
790	288	76
791	288	75
792	289	75
793	289	75
794	289	74
795	290	74
796	290	74
797	290	73
798	291	73
799	291	72
800	292	72
801	292	72
802	292	71
803	293	71
804	293	71
805	294	70
806	295	70
807	295	70
808	295	69
809	296	69
810	296	69
811	296	68
812	297	68
813	297	68
814	298	67
815	298	67
816	298	66
817	299	66
818	300	66
819	300	65
820	301	65
821	301	65
822	301	64
823	302	64
824	302	64
825	303	63
826	303	63
827	303	63
828	304	62
829	304	62
830	304	62
831	305	61
832	305	61
833	306	60
834	306	60
835	306	60
836	307	59
837	307	59
838	307	59
839	308	58
840	308	58
841	308	57
842	309	57
843	309	57
844	309	56
845	310	56
846	310	56
847	311	55
848	311	55
849	312	55
850	312	54
851	313	54
852	313	54
853	314	53
854	314	53
855	315	53
856	315	52
857	315	52
858	316	51
859	316	51
860	317	51
861	317	50
862	317	50
863	318	50
864	318	49
865	318	49
866	319	48
867	319	48
868	320	48
869	320	47
870	320	47
871	321	47
872	321	46
873	321	46
874	322	46
875	322	45
876	322	45
877	323	44
878	323	44
879	323	44
880	324	43
881	324	43
882	325	43
883	325	42
884	325	42
885	326	41
886	326	41
887	327	41
888	327	40
889	327	40
890	328	40
891	328	39
892	328	39
893	329	39
894	329	38
895	329	38
896	330	37
897	330	37
898	331	37
899	331	36
900	332	36
901	332	36
902	332	35
903	333	35
904	333	35
905	334	34
906	334	34
907	334	33
908	335	33
909	335	33
910	335	32
911	336	32
912	336	32
913	337	31
914	337	31
915	337	30
916	338	30
917	338	30
918	338	29
919	339	29
920	339	29
921	340	28
922	340	28
923	340	28
924	341	27
925	341	27
926	341	26
927	342	26
928	342	26
929	343	25
930	343	25
931	344	25
932	344	24
933	344	24
934	345	23
935	345	23
936	345	23
937	346	22
938	346	22
939	346	22
940	347	21
941	347	21
942	347	21
943	348	20
944	348	20
945	348	19
946	349	19
947	349	19
948	349	18
949	350	18
950	350	18
951	351	17
952	351	17
953	351	16
954	352	16
955	352	16
956	352	15
957	353	15
958	353	15
959	353	14
960	354	14
961	354	14
962	354	13
963	355	13
964	355	12
965	356	12
966	356	12
967	356	11
968	357	11
969	357	11
970	357	10
971	358	10
972	358	9
973	359	9
974	359	9
975	359	8
976	360	8
977	360	8
978	361	7
979	361	7
980	361	7
981	362	6
982	362	6
983	363	5
984	363	5
985	363	5
986	364	4
987	364	4
988	364	4
989	365	3
990	365	3
991	365	2
992	366	2
993	366	2
994	367	1
995	367	1
996	367	1
997	368	0
998	368	0
999	368	0
